-0.2	-0.29	-0.33	-0.19	-0.07	-0.31	-0.53	-0.52	-0.49	-0.47	-0.58	-0.68	-0.73	0.05	-0.13	0.315	0.276	-0.31	-0.24
-0.41	-0.08	0	0.289	-0.09	-0.46	-0.37	1.213	-0.25	-0.25	-0.19	0.185	0.094	-0.68	-0.19	-0.01	-0.59	-0.09	-0.2
-0.05	-0.07	-1.05	-0.88	-0.63	-0.43	-0.95	-0.63	-0.14	-0.21	-0.65	-0.36	-0.41	-0.31	-0.27	0.163	0.068	-0.42	-0.28
-0.45	0.057	0	-0.01	-0.05	-0.16	-0.23	-0.24	-0.05	-0.08	-0.09	-0.13	-0.23	-0.33	-0.15	-0.29	-0.63	-0.06	-0.03
-0.5	-0.26	-0.87	-0.28	-0.44	-0.83	0	-0.36	0.131	0.083	-0.12	0.204	0.268	-0.26	-0.27	-0.43	-1.22	-0.44	-0.06
-0.32	-0.14	0.011	-0.34	-0.44	-0.56	-0.2	-0.43	-0.11	-0.19	-0.19	-0.22	-0.19	-0.34	-0.23	0.057	-0.2	-0.17	-0.29
-0.21	-0.02	-0.73	-0.38	0	-0.74	-0.37	1.003	0.158	0.128	-0.4	0.156	0.069	0	-0.31	-0.2	-0.57	-0.24	-0.13
-0.03	-0.06	0.039	0.132	-0.11	-0.13	0.369	0.362	-0.09	-0.05	0.448	0.03	0.051	0.434	0.385	-0.18	-0.22	-0.03	-0.08
-0.2	0.09	0	-0.25	0	-0.1	-0.56	-0.23	0.034	0.005	-0.3	0.179	0.112	-0.43	-0.43	-0.18	-0.16	-0.22	-0.08
0.005	0.014	0.276	0.26	0.24	0.131	-0.4	-0.34	-0.23	-0.37	-0.39	-0.52	-0.61	0.364	0.344	-0.07	0.12	0.075	-0.07
-0.16	-0.13	-0.33	-0.3	-0.47	-0.38	0.27	0.189	-0.36	-0.26	-0.05	-0.18	-0.13	0.047	0.144	-0.02	-0.02	-0.12	-0.12
0.877	0.881	1.838	1.766	1.821	0.762	1.272	1.695	1.934	1.857	1.28	0.952	1.004	1.75	1.73	1.272	1.206	1.266	1.283
0.232	0.391	0.545	0.379	0.261	0.504	0.222	0.52	0.36	0.442	0.618	0.641	0.54	0.566	0.641	0.084	0.1	0.403	0.407
-0.01	0.016	0	-0.22	0.248	0.117	-0.1	0.115	0.143	0.152	-0.05	0	-0.21	-0.26	0.073	-0.28	-0.13	0.047	0.09
0.421	0.539	0.58	0.374	0.35	0.479	0.028	0.148	0.096	0.115	0.278	0.042	-0.09	0.235	0.297	-0.15	-0.13	0.339	0.208
-0.27	-0.15	0.075	-0.2	-0.06	0.131	-0.07	-0.31	-0.21	-0.23	-0.35	-0.21	-0.32	-0.08	-0.17	0.042	0.2	-0.29	-0.37
-0.35	1.576	0	0.044	0.038	0.427	-0.34	-0.08	-0.04	-0.18	-0.28	-0.05	0.014	-0.32	-0.21	-0.18	-0.21	0.069	0.225
-0.83	-0.76	0.177	0.19	0.22	-0.11	0.189	0.32	0.589	0.65	0.459	0.808	0.624	0.58	0.573	-0.07	-0.07	0.914	0.831
-0.56	-0.57	0	-0.31	-0.13	0.15	-0.29	-0.46	0.291	0.479	-0.09	0.705	0.576	-0.35	-0.29	0.098	0.168	0.163	-0.01
0.205	0.151	0.233	0	0.237	0.185	0.007	0.003	-0.03	0.108	0	-0.14	-0.11	0.182	0.152	-0.05	-0.11	0.259	0.177
-0.29	-0.34	-0.66	-0.46	-0.37	-0.52	0.183	0.24	0.309	0.345	0.342	0.325	0.528	-0.09	-0.09	-0.16	-0.12	-0.32	-0.44
-0.2	-0.17	-0.13	-0.34	-0.36	-0.15	-0.11	0.033	-0.47	-0.34	0.099	-0.07	-0.14	-0.03	-0.01	-0.25	-0.37	-0.06	-0.13
-0.16	0	-0.46	0	0	-0.28	-0.32	0.946	0.01	-0.13	-0.19	-0.1	-0.14	-0.16	-0.39	-0.15	-0.25	-0.07	-0.19
-0.2	0.152	0	0.117	0.115	0.163	0.111	0.151	-0.03	0.077	-0.03	0.024	-0.03	0.218	0.16	-0.02	-0.15	0.038	0.035
0.529	0.402	0.087	0.561	0.478	0.337	-0.2	-0.3	0.004	-0.05	0.171	-0.12	0.183	-0.18	-0.08	0.015	-0.02	0.186	0.277
0.043	-0.05	-0.07	0.043	-0.04	-0.23	0.16	-0.13	0	0.046	-0.05	0.31	0.248	-0.02	-0.01	-0.34	-0.56	-0.22	-0.39
0.182	0.155	-0.19	-0.02	0.017	0.172	-0.06	-0.14	0.498	0.497	0.199	0.665	0.896	-0.43	-0.45	-0.07	-0.12	-0.01	0.078
0.205	0.16	0.225	0.223	0.253	0.3	0.156	-0.09	0	0.034	-0.06	0.208	0.186	0.238	0.25	-0.47	-0.47	0.037	-0.08
